//Affiliate Module Fontend
"My Affiliate Account", "My Affiliate Account"
"My Account Info", "My Account Info"
"My Credit", "My Credit"
"My Affiliate Detail", "My Affiliate Detail"
"My Withdrawal", "My Withdrawal"
"My Invitations", "My Invitations"
"My Affiliate Banners", "My Affiliate Banners"
"My Programs", "My Programs"
"Signup Referral", "Signup Referral"

// Transaction detail send mail
"You checkout by credit order #%s", "You checkout by credit order #%s"
"You checkout by credit order #%s. Your order was cancelled", "You checkout by credit order #%s. Your order was cancelled"
"Commission from order #%s", "Commission from order #%s"
"Customer granted refund. Order #%s. Affiliate commission reversed.", "Customer granted refund. Order #%s.Affiliate commission reversed."

// tab create account customer
"Referral Code", "Referral Code"
"Affiliate Signup Information", "Affiliate Signup Information"
"Sign up for our Affiliate Program", "Sign up for our Affiliate Program"
"Payment Method", "Payment Method"
"Please select a payment method", "Please select a payment method"
"Withdrawal Notification Email", "Withdrawal Notification Email"
"Bank Name", "Bank Name"
"Name on account", "Name on account"
"Bank Country", "Bank Country"
"SWIFT code", "SWIFT code"
"Account Number", "Account Number"
"Re Account Number", "Re Account Number"
"Affiliate's Website(s)", "Affiliate Website(s)"
"Auto Withdrawal", "Auto Withdrawal"
"Auto payment when account balance reaches (%s - %s)", "Auto payment when account balance reaches (%s - %s)"
"Reserve Level", "Reserve Level"
"The referral code is invalid.", "The referral code is invalid."
"There is already an account with this emails paypal", "There is already an account with this emails paypal"
"Please insert a value of Auto payment when account balance reaches that is in range of [%s, %s]", "Please insert a value of Auto payment when account balance reaches that is in range of [%s, %s]"

// tab create acount in my affiliate
"Signup Affiliate Account Information", "Signup Affiliate Account Information"
"Signup Affiliate Account", "Signup Affiliate Account"
"You have registered in our Affiliate system. Please wait for the response of administrator.", "You have registered in our Affiliate system. Please wait for the response of administrator."
"You have not successfully registered. For more details, Please contact with the administrator.", "You have not successfully registered. For more details, Please contact with the administrator."

// Affiliate Account
"Affiliate Account was disabled, please contact us to solve this problem.", "Affiliate Account was disabled, please contact us to solve this problem."
"Affiliate Account", "Affiliate Account"
"Affiliate Account Information", "Affiliate Account Information"
"Your Balance", "Your Balance"
"Current Balance", "Current Balance"
"Affiliate Name", "Affiliate Name"
"Save", "Save"
"Auto", "Auto"
"Manual", "Manual"
"You have successfully saved affiliate account", "You have successfully saved affiliate account"
"You have successfully updated affiliate account", "You have successfully updated affiliate account"
